"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 11, 2013","165.83","168.46","169.90","165.50","513.03M","-2.06%"
"Aug 04, 2013","169.31","170.57","170.96","168.55","420.46M","-0.96%"
"Jul 28, 2013","170.95","168.68","170.97","168.11","509.01M","1.09%"
"Jul 21, 2013","169.11","169.41","169.86","167.52","492.14M","-0.04%"
"Jul 14, 2013","169.17","167.97","169.27","167.07","458.48M","0.99%"
"Jul 07, 2013","167.51","163.86","167.93","163.08","588.61M","2.75%"
"Jun 30, 2013","163.02","161.26","163.08","160.22","484.45M","1.62%"
"Jun 23, 2013","160.42","157.41","161.82","155.73","809.33M","0.85%"
"Jun 16, 2013","159.07","164.29","165.99","157.47","1.05B","-2.52%"
"Jun 09, 2013","163.18","165.31","165.40","161.30","747.32M","-0.98%"
"Jun 02, 2013","164.80","163.83","165.10","160.25","926.32M","0.83%"
"May 26, 2013","163.44","167.04","167.78","163.13","588.69M","-1.13%"
"May 19, 2013","165.31","166.78","169.07","163.94","787.55M","-0.98%"
"May 12, 2013","166.94","163.20","167.04","162.82","561.28M","2.16%"
"May 05, 2013","163.41","161.49","163.70","161.42","464.60M","1.26%"
"Apr 28, 2013","161.37","158.67","161.88","158.10","584.07M","1.98%"
"Apr 21, 2013","158.24","155.78","159.27","154.75","596.46M","1.78%"
"Apr 14, 2013","155.48","158.00","158.13","153.55","908.87M","-2.09%"
"Apr 07, 2013","158.80","155.27","159.71","154.75","550.71M","2.35%"
"Mar 31, 2013","155.16","156.59","157.21","153.77","646.42M","-0.96%"
"Mar 24, 2013","156.67","156.01","156.85","154.35","441.06M","0.69%"
"Mar 17, 2013","155.60","154.34","155.95","153.59","647.80M","-0.15%"
"Mar 10, 2013","155.83","155.32","156.80","155.13","546.98M","0.25%"
"Mar 03, 2013","155.44","151.76","155.65","151.52","524.73M","2.19%"
"Feb 24, 2013","152.11","152.63","152.87","148.73","880.70M","0.14%"
"Feb 17, 2013","151.89","152.37","153.28","149.94","545.29M","-0.14%"
"Feb 10, 2013","152.11","151.74","152.61","151.39","517.55M","0.20%"
"Feb 03, 2013","151.80","150.32","151.89","149.43","677.37M","0.37%"
"Jan 27, 2013","151.24","150.29","151.42","149.51","596.65M","0.66%"
"Jan 20, 2013","150.25","148.33","150.25","147.98","510.04M","1.29%"
"Jan 13, 2013","148.33","146.89","148.49","146.20","591.33M","0.86%"
"Jan 06, 2013","147.07","145.85","147.15","144.98","566.67M","0.48%"
"Dec 30, 2012","146.37","139.66","146.61","139.54","697.59M","4.53%"
"Dec 23, 2012","140.03","142.48","142.71","139.87","477.55M","-1.93%"
"Dec 16, 2012","142.79","142.47","145.58","141.94","886.76M","0.48%"
"Dec 09, 2012","142.11","142.21","144.55","141.88","670.71M","-0.21%"
"Dec 02, 2012","142.41","142.80","142.92","140.37","611.53M","0.18%"
"Nov 25, 2012","142.16","140.65","142.51","139.00","693.51M","0.57%"
"Nov 18, 2012","141.35","137.90","141.40","136.41","418.42M","3.65%"
"Nov 11, 2012","136.37","138.59","139.25","134.70","829.81M","-1.30%"
"Nov 04, 2012","138.16","141.35","143.52","137.55","852.32M","-2.40%"
"Oct 28, 2012","141.56","141.85","143.72","140.68","342.14M","0.15%"
"Oct 21, 2012","141.35","143.15","143.67","140.39","718.29M","-1.42%"
"Oct 14, 2012","143.39","143.23","146.52","142.77","679.09M","0.35%"
"Oct 07, 2012","142.89","145.60","146.12","142.58","599.32M","-2.22%"
"Sep 30, 2012","146.14","144.52","147.16","143.83","619.77M","1.51%"
"Sep 23, 2012","143.97","145.15","146.24","142.95","637.88M","-1.30%"
"Sep 16, 2012","145.87","146.94","147.19","145.63","608.82M","-0.93%"
"Sep 09, 2012","147.24","144.19","148.11","143.46","658.11M","2.02%"
"Sep 02, 2012","144.33","141.04","144.39","140.13","486.43M","2.25%"
"Aug 26, 2012","141.16","141.89","142.08","140.19","458.46M","-0.25%"
"Aug 19, 2012","141.51","141.98","143.09","140.22","528.03M","-0.47%"
"Aug 12, 2012","142.18","140.60","142.30","140.04","455.72M","0.95%"
"Aug 05, 2012","140.84","139.72","140.92","139.56","475.71M","1.07%"
"Jul 29, 2012","139.35","138.52","139.64","135.58","723.03M","0.48%"
"Jul 22, 2012","138.68","134.47","139.07","133.03","840.93M","1.62%"
"Jul 15, 2012","136.47","135.44","138.18","134.55","622.49M","0.53%"
"Jul 08, 2012","135.75","135.38","136.23","132.60","686.63M","0.19%"
"Jul 01, 2012","135.49","136.48","137.80","134.85","487.34M","-0.45%"
"Jun 24, 2012","136.10","132.05","136.27","130.85","777.59M","1.98%"
"Jun 17, 2012","133.46","133.58","136.25","132.33","810.52M","-0.51%"
"Jun 10, 2012","134.14","134.17","134.26","131.16","923.97M","0.78%"
"Jun 03, 2012","133.10","128.39","133.53","127.14","879.59M","3.85%"
"May 27, 2012","128.16","133.16","133.93","128.16","764.68M","-2.98%"
"May 20, 2012","132.10","130.16","133.23","129.95","883.17M","1.82%"
"May 13, 2012","129.74","134.31","135.61","129.55","1.15B","-4.33%"
"May 06, 2012","135.61","136.51","137.56","134.49","865.56M","-1.01%"
"Apr 29, 2012","137.00","140.11","141.66","136.92","712.70M","-2.41%"
"Apr 22, 2012","140.39","136.54","140.79","135.94","720.52M","1.77%"
"Apr 15, 2012","137.95","137.84","139.36","136.58","761.45M","0.59%"
"Apr 08, 2012","137.14","138.03","139.84","135.76","840.62M","-1.90%"
"Apr 01, 2012","139.79","140.64","142.21","139.26","591.88M","-0.72%"
"Mar 25, 2012","140.81","140.65","141.83","139.09","689.04M","0.83%"
"Mar 18, 2012","139.65","140.21","141.28","138.55","625.15M","-0.46%"
"Mar 11, 2012","140.30","137.55","140.78","137.09","751.27M","1.98%"
"Mar 04, 2012","137.57","137.10","137.93","134.36","726.39M","0.19%"
"Feb 26, 2012","137.31","136.02","138.19","135.80","726.68M","0.28%"
"Feb 19, 2012","136.93","136.73","137.20","135.50","501.74M","0.38%"
"Feb 12, 2012","136.41","135.32","136.63","134.25","793.47M","1.53%"
"Feb 05, 2012","134.36","133.98","135.59","133.64","699.09M","-0.13%"
"Jan 29, 2012","134.54","130.51","134.62","130.06","744.45M","2.06%"
"Jan 22, 2012","131.82","131.51","133.40","130.60","751.13M","-0.10%"
"Jan 15, 2012","131.95","130.08","131.95","128.90","560.16M","2.41%"
"Jan 08, 2012","128.84","128.00","129.70","127.41","625.17M","0.88%"
"Jan 01, 2012","127.71","127.76","128.38","126.43","642.83M","1.76%"
"Dec 25, 2011","125.50","126.17","126.82","124.73","424.29M","-0.70%"
"Dec 18, 2011","126.39","122.06","126.43","120.03","815.20M","3.95%"
"Dec 11, 2011","121.59","124.95","125.57","121.30","1.12B","-3.54%"
"Dec 04, 2011","126.05","126.84","127.26","123.65","1.09B","0.95%"
"Nov 27, 2011","124.86","119.54","126.50","118.82","1.13B","7.32%"
"Nov 20, 2011","116.34","120.20","120.35","116.20","770.20M","-4.62%"
"Nov 13, 2011","121.98","126.19","127.45","121.23","1.13B","-3.69%"
"Nov 06, 2011","126.66","125.39","128.02","122.86","1.18B","0.94%"
